Timestamp,Temperature (C),Humidity (%),Fan Status,Pump Status
2025-11-22 10:06:04,13,86,OFF,OFF
2025-11-22 10:06:05,13,86,OFF,OFF
2025-11-22 10:06:06,13,86,OFF,OFF
2025-11-22 10:06:08,13,86,OFF,OFF
2025-11-22 10:06:09,13,86,OFF,OFF
2025-11-22 10:06:10,13,86,OFF,OFF
2025-11-22 10:06:11,13,86,OFF,OFF
2025-11-22 10:06:12,13,86,OFF,OFF
2025-11-22 10:06:14,13,85,OFF,OFF
2025-11-22 10:06:15,13,81,OFF,OFF
2025-11-22 10:06:17,13,72,OFF,OFF
2025-11-22 10:06:18,13,59,OFF,OFF
2025-11-22 10:06:19,13,40,OFF,OFF
2025-11-22 10:06:20,13,16,OFF,ON
2025-11-22 10:06:21,13,12,OFF,ON
2025-11-22 10:06:23,13,12,OFF,ON
2025-11-22 10:06:24,13,12,OFF,ON
2025-11-22 10:06:25,13,12,OFF,ON
2025-11-22 10:06:27,13,12,OFF,ON
2025-11-22 10:06:28,13,12,OFF,ON
2025-11-22 10:06:29,13,12,OFF,ON
2025-11-22 10:06:30,13,12,OFF,ON
2025-11-22 10:06:32,13,12,OFF,ON
2025-11-22 10:06:33,14,12,OFF,ON
2025-11-22 10:06:34,25,13,OFF,ON
2025-11-22 10:06:36,44,14,ON,ON
2025-11-22 10:06:37,62,14,ON,ON
2025-11-22 10:06:38,88,16,ON,ON
2025-11-22 10:06:39,97,16,ON,ON
2025-11-22 10:06:41,103,16,ON,ON
2025-11-22 10:06:42,108,17,ON,ON
2025-11-22 10:06:43,110,17,ON,ON
2025-11-22 10:06:45,109,17,ON,ON
2025-11-22 10:06:46,104,16,ON,ON
2025-11-22 10:06:47,95,16,ON,ON
2025-11-22 10:06:48,80,15,ON,ON
2025-11-22 10:06:50,57,14,ON,ON
2025-11-22 10:06:51,50,14,ON,ON
2025-11-22 10:06:52,50,14,ON,ON
2025-11-22 10:06:54,50,14,ON,ON
2025-11-22 10:06:55,50,14,ON,ON
2025-11-22 10:06:56,50,14,ON,ON
2025-11-22 10:06:58,50,14,ON,ON
2025-11-22 10:06:59,50,14,ON,ON
2025-11-22 10:07:00,50,14,ON,ON
2025-11-22 10:07:01,50,14,ON,ON
2025-11-22 10:07:03,50,14,ON,ON
2025-11-22 10:07:04,50,14,ON,ON
2025-11-22 10:07:05,50,14,ON,ON
2025-11-22 10:07:07,50,14,ON,ON
2025-11-22 10:07:08,50,14,ON,ON
2025-11-22 10:07:09,50,14,ON,ON
2025-11-22 10:07:11,50,14,ON,ON
2025-11-22 10:07:12,50,14,ON,ON
2025-11-22 10:07:13,50,14,ON,ON
2025-11-22 10:07:15,50,14,ON,ON
2025-11-22 10:07:16,50,14,ON,ON
2025-11-22 10:07:17,50,14,ON,ON
2025-11-22 10:07:18,50,14,ON,ON
2025-11-22 10:07:20,50,14,ON,ON
2025-11-22 10:07:21,50,14,ON,ON
2025-11-22 10:07:22,50,14,ON,ON
2025-11-22 10:07:24,50,14,ON,ON
2025-11-22 10:07:25,50,14,ON,ON
2025-11-22 10:07:26,50,14,ON,ON
2025-11-22 10:07:27,50,14,ON,ON
2025-11-22 10:07:29,50,14,ON,ON
2025-11-22 10:07:30,50,14,ON,ON
2025-11-22 10:07:31,50,14,ON,ON
2025-11-22 10:07:32,50,14,ON,ON
2025-11-22 10:07:34,50,14,ON,ON
2025-11-22 10:07:35,50,14,ON,ON
2025-11-22 10:07:36,50,14,ON,ON
2025-11-22 10:07:38,50,14,ON,ON
2025-11-22 10:07:39,50,14,ON,ON
2025-11-22 10:07:40,50,14,ON,ON
2025-11-22 10:07:41,50,14,ON,ON
2025-11-22 10:07:43,50,14,ON,ON
2025-11-22 10:07:44,50,14,ON,ON
2025-11-22 10:07:45,50,14,ON,ON
2025-11-22 10:07:47,50,14,ON,ON
2025-11-22 10:07:48,50,14,ON,ON
2025-11-22 10:07:49,50,14,ON,ON
2025-11-22 10:07:51,50,14,ON,ON
2025-11-22 10:07:52,50,14,ON,ON
2025-11-22 10:07:53,50,14,ON,ON
2025-11-22 10:07:54,50,14,ON,ON
2025-11-22 10:07:56,50,14,ON,ON
2025-11-22 10:07:57,50,14,ON,ON
2025-11-22 10:07:58,50,14,ON,ON
2025-11-22 10:07:59,50,14,ON,ON
2025-11-22 10:08:01,50,14,ON,ON
2025-11-22 10:08:02,50,14,ON,ON
2025-11-22 10:08:03,50,14,ON,ON
2025-11-22 10:08:05,50,14,ON,ON
2025-11-22 10:08:06,50,14,ON,ON
2025-11-22 10:08:07,50,14,ON,ON
2025-11-22 10:08:08,50,14,ON,ON
2025-11-22 10:08:10,50,14,ON,ON
2025-11-22 10:08:11,50,14,ON,ON
2025-11-22 10:08:12,50,14,ON,ON
2025-11-22 10:08:14,50,14,ON,ON
2025-11-22 10:08:15,50,14,ON,ON
2025-11-22 10:08:16,50,14,ON,ON
2025-11-22 10:08:18,50,14,ON,ON
2025-11-22 10:08:19,50,14,ON,ON
2025-11-22 10:08:20,50,14,ON,ON
2025-11-22 10:08:21,50,14,ON,ON
2025-11-22 10:08:23,50,14,ON,ON
2025-11-22 10:08:24,50,14,ON,ON
2025-11-22 10:08:25,50,14,ON,ON
2025-11-22 10:08:26,50,14,ON,ON
2025-11-22 10:08:28,50,14,ON,ON
